DayNumber,Date,Time,COT
1,2015-1-1,12:15,-99.0
2,2015-1-2,11:20,-99.0
3,2015-1-3,12:05,3.764
4,2015-1-4,11:10,-99.0
5,2015-1-5,11:50,1.4689
6,2015-1-6,10:55,-99.0
7,2015-1-7,11:40,7.8567
8,2015-1-8,12:20,-99.0
9,2015-1-9,11:25,29.9722
10,2015-1-10,12:10,3.266
11,2015-1-11,11:15,11.5856
12,2015-1-12,11:55,-99.0
13,2015-1-13,11:00,-99.0
14,2015-1-14,11:45,-99.0
15,2015-1-15,12:25,-99.0
16,2015-1-16,11:30,-99.0
17,2015-1-17,12:15,-99.0
18,2015-1-18,11:20,1.2856
19,2015-1-19,12:05,-99.0
20,2015-1-20,11:10,-99.0
21,2015-1-21,11:50,2.0156
22,2015-1-22,10:55,-99.0
23,2015-1-23,11:40,1.16
24,2015-1-24,12:20,-99.0
25,2015-1-25,11:25,3.6257
26,2015-1-26,12:10,1.995
27,2015-1-27,11:15,1.655
28,2015-1-28,11:55,-99.0
29,2015-1-29,11:00,8.6356
30,2015-1-30,11:45,10.1922
31,2015-1-31,12:25,-99.0
32,2015-2-1,11:20,0.9
33,2015-2-2,12:05,-99.0
34,2015-2-3,11:10,5.8511
35,2015-2-4,11:50,-99.0
36,2015-2-5,10:55,6.1389
37,2015-2-6,11:40,28.2167
38,2015-2-7,12:20,-99.0
39,2015-2-8,11:25,-99.0
40,2015-2-9,12:10,-99.0
41,2015-2-10,11:15,-99.0
42,2015-2-11,11:55,-99.0
43,2015-2-12,11:00,-99.0
44,2015-2-13,11:45,-99.0
45,2015-2-14,12:25,-99.0
46,2015-2-15,11:35,-99.0
47,2015-2-16,12:15,-99.0
48,2015-2-17,11:20,1.14
49,2015-2-18,12:05,-99.0
50,2015-2-19,11:10,3.7189
51,2015-2-20,11:50,-99.0
52,2015-2-21,10:55,0.6933
53,2015-2-22,11:40,-99.0
54,2015-2-23,12:20,-99.0
55,2015-2-24,11:25,3.9811
56,2015-2-25,12:10,-99.0
57,2015-2-26,11:15,-99.0
58,2015-2-27,11:55,-99.0
59,2015-2-28,11:00,-99.0
60,2015-3-1,11:45,-99.0
