Date, TimeImage, TimeMODIS, Luminance, COT, ClearSkyRadiationForTimeImage , ClearSkyLuminanceForTimeImage 
2015-04-25 11:50:00,2015-04-25 11:38:01,2015-04-25 11:50:00,107585.171231,3.1833,919.760707803,380463.360554
2015-04-26 10:55:00,2015-04-26 10:42:00,2015-04-26 10:55:00,88598.1775128,4.92,790.463883301,322895.762823
2015-04-27 11:40:00,2015-04-27 11:56:00,2015-04-27 11:40:00,90535.2280282,2.3267,904.510543986,373673.438996
2015-05-03 11:00:00,2015-05-03 11:38:01,2015-05-03 11:00:00,79165.3557535,9.9644,826.208266532,338810.448144
2015-05-05 12:15:00,2015-05-05 12:34:01,2015-05-05 12:15:00,86004.2585665,24.815,938.025050233,388595.302864
2015-05-06 11:20:00,2015-05-06 11:38:00,2015-05-06 11:20:00,94508.8185072,4.7333,850.913926108,349810.296575
2015-05-08 11:10:00,2015-05-08 11:38:01,2015-05-08 11:10:00,54578.4299932,20.4922,829.965913186,340483.487616
2015-05-12 12:20:00,2015-05-12 12:34:00,2015-05-12 12:20:00,71877.9227898,70.6156,930.805313169,385380.816193
2015-05-13 11:25:00,2015-05-13 11:38:00,2015-05-13 11:25:00,96433.5197973,2.7544,849.680693938,349261.217247
2015-05-20 11:30:00,2015-05-20 11:38:01,2015-05-20 11:30:00,71149.1588735,3.42,847.289925634,348196.76119
2015-05-21 12:15:00,2015-05-21 12:53:31,2015-05-21 12:15:00,84713.5511146,3.6243,917.761871941,379573.40692
2015-05-22 11:20:00,2015-05-22 11:40:01,2015-05-22 11:20:00,92392.8862941,22.7383,823.822337716,337748.146801
2015-05-24 11:10:00,2015-05-24 11:38:00,2015-05-24 11:10:00,78688.4497187,16.2875,803.213947979,328572.550302
2015-05-26 10:55:00,2015-05-26 10:42:00,2015-05-26 10:55:00,74706.3124955,4.9229,743.473475777,301973.94291
2015-05-27 11:40:00,2015-05-27 11:38:00,2015-05-27 11:40:00,89138.1005861,2.62,853.561541931,350989.110388
2015-06-06 12:15:00,2015-06-06 12:28:00,2015-06-06 12:15:00,30539.4546746,80.03,886.549700485,365676.625327
2015-06-11 10:55:00,2015-06-11 10:42:00,2015-06-11 10:55:00,79380.2487603,15.4833,723.926622171,293270.980486
2015-06-12 11:40:00,2015-06-12 11:38:01,2015-06-12 11:40:00,97819.5524748,8.2944,832.300750065,341523.04099
2015-06-13 12:20:00,2015-06-13 12:36:00,2015-06-13 12:20:00,95397.1631866,4.0225,884.259081611,364656.759399
2015-06-14 11:25:00,2015-06-14 11:38:01,2015-06-14 11:25:00,68137.1604903,11.16,800.22279532,327240.781532
2015-06-16 11:15:00,2015-06-16 11:38:00,2015-06-16 11:15:00,69919.8442037,17.6022,779.302553625,317926.337322
2015-06-18 11:00:00,2015-06-18 11:38:01,2015-06-18 11:00:00,66185.9451292,3.21,759.701200364,309199.10969
2015-06-19 11:45:00,2015-06-19 11:38:00,2015-06-19 11:45:00,81064.7331385,2.1267,836.67182701,343469.201696
2015-06-21 11:30:00,2015-06-21 11:38:01,2015-06-21 11:30:00,76035.232361,15.75,806.879569449,330204.616852
2015-06-22 12:15:00,2015-06-22 12:34:01,2015-06-22 12:15:00,94518.560647,5.9887,873.212335737,359738.350729
2015-06-23 11:20:00,2015-06-23 11:38:00,2015-06-23 11:20:00,80518.5594876,2.6786,785.317357559,320604.344416
2015-06-25 11:10:00,2015-06-25 11:38:01,2015-06-25 11:10:00,74547.0463408,25.4983,766.813467253,312365.746773
2015-06-28 11:40:00,2015-06-28 11:38:01,2015-06-28 11:40:00,85443.6857223,6.6467,823.231708404,337485.177384
2015-07-01 12:10:00,2015-07-01 12:34:01,2015-07-01 12:10:00,82741.5034074,27.4678,870.74838106,358641.309466
2015-07-02 11:15:00,2015-07-02 11:38:00,2015-07-02 11:15:00,90957.2282742,7.93,772.235454547,314779.810573
2015-07-04 11:00:00,2015-07-04 11:40:00,2015-07-04 11:00:00,89251.8178115,6.8789,753.931358129,306630.168357
2015-07-06 12:25:00,2015-07-06 12:46:01,2015-07-06 12:25:00,64496.5596985,2.352,886.06821804,365462.252021
2015-07-24 12:15:00,2015-07-24 12:50:01,2015-07-24 12:15:00,86756.2674621,21.6933,892.823209935,368469.817425
2015-08-07 12:25:00,2015-08-07 12:56:01,2015-08-07 12:25:00,57315.9790439,103.8329,926.710425414,383557.62485
2015-08-08 11:35:00,2015-08-08 11:54:00,2015-08-08 11:35:00,89701.4510655,7.1933,853.353977604,350896.695282
2015-08-09 12:15:00,2015-08-09 12:12:00,2015-08-09 12:15:00,99479.6913038,7.3411,920.917730518,380978.50869
2015-08-10 11:20:00,2015-08-10 11:34:01,2015-08-10 11:20:00,98579.7333123,4.15,826.598797342,338984.32651
2015-08-12 11:10:00,2015-08-12 11:42:01,2015-08-12 11:10:00,68549.7952097,14.6756,811.407676491,332220.693006
2015-08-16 12:20:00,2015-08-16 12:34:01,2015-08-16 12:20:00,100970.953562,5.934,939.212574779,389124.031513
2015-08-18 12:10:00,2015-08-18 12:24:01,2015-08-18 12:10:00,107140.473907,2.012,934.339306287,386954.277065
2015-08-21 11:00:00,2015-08-21 11:32:01,2015-08-21 11:00:00,87459.1334954,43.6856,817.292002693,334840.60672
2015-08-22 11:45:00,2015-08-22 11:24:01,2015-08-22 11:45:00,77310.2448731,4.83,900.176433231,371743.736968
2015-08-23 12:25:00,2015-08-23 12:38:00,2015-08-23 12:25:00,106579.521796,10.9811,955.580348753,396411.553318
2015-08-24 11:35:00,2015-08-24 11:58:01,2015-08-24 11:35:00,86842.3998999,10.17,885.143248349,365050.422239
2015-08-25 12:15:00,2015-08-25 12:08:01,2015-08-25 12:15:00,53176.3654048,4.5989,950.420882517,394114.373338
2015-08-26 11:20:00,2015-08-26 11:58:01,2015-08-26 11:20:00,99618.5922814,7.2989,858.946821536,353386.830604
2015-09-02 11:25:00,2015-09-02 11:50:00,2015-09-02 11:25:00,902588.195042,6.125,884.114696211,364592.473825
2015-09-03 12:10:00,2015-09-03 12:59:57,2015-09-03 12:10:00,934315.574783,4.63,960.785395486,398729.027376
2015-09-04 11:15:00,2015-09-04 11:42:01,2015-09-04 11:15:00,311110.349154,1.6414,862.706320425,355060.694757
2015-09-07 11:45:00,2015-09-07 11:50:01,2015-09-07 11:45:00,293444.820456,5.59,931.655775812,385759.472757
2015-09-08 10:50:00,2015-09-08 10:58:01,2015-09-08 10:50:00,160759.255736,15.29,798.326439726,326396.4558
2015-09-09 11:35:00,2015-09-09 11:50:00,2015-09-09 11:35:00,142988.371238,36.3767,917.015167046,379240.947037
2015-09-10 12:15:00,2015-09-10 12:58:01,2015-09-10 12:15:00,439072.64452,5.0767,973.99537898,404610.587257
2015-09-11 11:20:00,2015-09-11 11:50:02,2015-09-11 11:20:00,404693.9085,4.4733,889.183345168,366849.218686
2015-09-13 11:10:00,2015-09-13 11:50:01,2015-09-13 11:10:00,340474.51084,2.8867,874.099434635,360133.319072
2015-09-15 10:55:00,2015-09-15 10:58:01,2015-09-15 10:55:00,236617.4277,27.7367,816.816035749,334628.689114
2015-09-16 11:40:00,2015-09-16 11:50:01,2015-09-16 11:40:00,312506.135622,11.8833,936.351250158,387850.066856
2015-09-17 12:20:00,2015-09-17 12:58:01,2015-09-17 12:20:00,520470.690114,5.8444,986.600976346,410223.052692
2015-09-18 11:25:00,2015-09-18 11:50:01,2015-09-18 11:25:00,465218.892526,6.64,908.318354054,375368.813025
2015-09-20 11:15:00,2015-09-20 11:50:01,2015-09-20 11:15:00,412993.569,7.6478,888.861993527,366706.141375
2015-09-22 11:00:00,2015-09-22 11:59:59,2015-09-22 11:00:00,74026.1185385,37.3222,875.234252645,360638.580875
2015-09-23 11:45:00,2015-09-23 11:50:01,2015-09-23 11:45:00,336489.429906,3.846,950.81409639,394289.4463
2015-09-24 10:50:00,2015-09-24 10:58:01,2015-09-24 10:50:00,168772.625104,4.9667,824.095709203,337869.861622
2015-09-25 11:35:00,2015-09-25 11:50:02,2015-09-25 11:35:00,425213.241621,11.9744,935.680604996,387551.471503
2015-09-26 10:40:00,2015-09-26 10:58:01,2015-09-26 10:40:00,349407.47873,2.8022,805.704801131,329681.567734
2015-09-27 11:20:00,2015-09-27 11:50:02,2015-09-27 11:20:00,315683.394359,4.2837,909.840070174,376046.335786
2015-09-29 11:10:00,2015-09-29 11:36:01,2015-09-29 11:10:00,324806.125984,8.5778,885.215658695,365082.66193
2015-10-10 10:50:00,2015-10-10 10:10:20,2015-10-10 10:50:00,55632.3316341,4.2933,836.402910807,343349.470528
2015-10-22 11:15:00,2015-10-22 11:54:00,2015-10-22 11:15:00,53405.7860324,7.5678,900.163772909,371738.100138
2015-10-24 11:00:00,2015-10-24 11:54:01,2015-10-24 11:00:00,62596.0636143,34.8233,883.950492352,364519.36436
2015-10-25 11:45:00,2015-10-25 11:54:01,2015-10-25 11:45:00,40070.0575906,21.1867,951.390179816,394545.939366
2015-10-26 10:50:00,2015-10-26 10:11:41,2015-10-26 10:50:00,36269.828197,97.6022,832.329197525,341535.706823
2015-10-27 11:35:00,2015-10-27 11:54:01,2015-10-27 11:35:00,15974.7396887,26.7644,934.065855722,386832.527036
2015-10-28 12:15:00,2015-10-28 12:26:01,2015-10-28 12:15:00,76561.5667642,10.3978,978.957216691,406819.775909
2015-10-29 11:20:00,2015-10-29 11:56:01,2015-10-29 11:20:00,54056.637561,1.658,906.58577075,374597.404608
2015-10-31 11:10:00,2015-10-31 11:46:00,2015-10-31 11:10:00,66126.6855605,12.2789,888.081981762,366358.852076
2015-11-02 10:55:00,2015-11-02 10:09:41,2015-11-02 10:55:00,57531.749546,2.5089,830.966224532,340928.862213
2015-11-04 12:20:00,2015-11-04 12:50:00,2015-11-04 12:20:00,63628.9408898,6.0367,973.654602748,404458.861419
2015-11-05 11:25:00,2015-11-05 11:54:01,2015-11-05 11:25:00,67705.2478283,1.925,907.772397924,375125.733715
2015-11-07 11:15:00,2015-11-07 11:54:00,2015-11-07 11:15:00,57143.9075037,3.3978,885.282416538,365112.384923
2015-11-09 11:00:00,2015-11-09 11:44:00,2015-11-09 11:00:00,11144.2072075,38.1656,865.494469076,356302.078841
2015-11-10 11:45:00,2015-11-10 11:54:01,2015-11-10 11:45:00,67197.3157767,8.7583,933.188990993,386442.115313
2015-11-12 11:35:00,2015-11-12 11:54:00,2015-11-12 11:35:00,61809.4887918,1.4222,914.809678062,378258.983999
2015-11-13 12:15:00,2015-11-13 12:24:00,2015-11-13 12:15:00,76328.8383991,58.5417,958.011298731,397493.899702
2015-11-14 11:20:00,2015-11-14 11:56:00,2015-11-14 11:20:00,45231.4362199,0.71,884.35025128,364697.351416
2015-11-16 11:10:00,2015-11-16 11:24:01,2015-11-16 11:10:00,11107.9279152,16.5044,864.705175868,355950.657109
2015-11-19 11:40:00,2015-11-19 11:54:01,2015-11-19 11:40:00,17549.2193819,1.8789,911.224330709,376662.658374
